POINTS:
(24, 14)
(26, 0)
(39, 7)
(9, 2)
(5, 9)
(35, 10)
(16, 1)
(0, 1)
(10, 16)
(23, 13)
(22, 8)
(5, 6)
(15, 18)
(24, 9)
(6, 4)
(18, 17)
(23, 2)
(1, 13)
(35, 16)
(35, 17)
(13, 15)
(15, 1)
(30, 3)
(18, 17)
(30, 1)
(15, 16)
(28, 18)
(6, 6)
(39, 6)
(12, 19)
(36, 18)
(31, 1)
(15, 7)
(6, 5)
(27, 16)
(10, 12)
(16, 2)
(30, 9)
(0, 5)
(31, 2)
(26, 19)
(4, 2)
(2, 13)
(2, 19)
(13, 8)
(37, 2)
(20, 14)
(18, 9)
(10, 18)
(31, 13)
(22, 10)
(8, 17)
(37, 18)
(39, 4)
(17, 17)
(10, 11)
(1, 3)
(17, 4)
(21, 6)
(6, 7)
(22, 8)
(5, 7)
(16, 6)
(20, 13)
(30, 18)
(22, 1)
(34, 13)
(19, 3)
(33, 6)
(23, 16)
(16, 2)
(20, 0)
(15, 8)
(21, 19)
(13, 15)
(0, 15)
(20, 3)
(16, 1)
(5, 19)
(2, 19)
(12, 9)
(17, 9)
(14, 5)
(35, 5)
(1, 2)
(34, 1)
(13, 15)
(19, 1)
(6, 13)
(32, 14)
(23, 1)
(16, 14)
(20, 10)
(35, 2)
(39, 10)
(1, 16)
(33, 17)
(5, 2)
(7, 5)
(36, 4)
CLUSTERS:
(10, 18)
(24, 6)
(26, 0)
(3, 5)
(9, 15)
(24, 18)
(2, 12)
(4, 5)
(5, 16)
(3, 2)
